region,year,population
Albany,2015,154
Atlanta,2015,5702
BaltimoreWashington,2015,2795
Boise,2015,674
Boston,2015,4776
BuffaloRochester,2015,1137
California,2015,23499
Charlotte,2015,2424
Chicago,2015,9558
CincinnatiDayton,2015,2156
Columbus,2015,2023
DallasFtWorth,2015,7101
Denver,2015,2807
Detroit,2015,4302
GrandRapids,2015,1039
GreatLakes,2015,21065
HarrisburgScranton,2015,565
HartfordSpringfield,2015,1213
Houston,2015,6664
Indianapolis,2015,1987
Jacksonville,2015,1446
LasVegas,2015,2110
LosAngeles,2015,13284
Louisville,2015,1278
MiamiFtLauderdale,2015,6026
Midsouth,2015,11183
Nashville,2015,1830
NewOrleansMobile,2015,1264
NewYork,2015,20216
Northeast,2015,51862
NorthernNewEngland,2015,14726
Orlando,2015,2391
Philadelphia,2015,6067
PhoenixTucson,2015,4558
Pittsburgh,2015,2349
Plains,2015,2807
Portland,2015,2382
RaleighGreensboro,2015,1273
RichmondNorfolk,2015,1270
Roanoke,2015,313
Sacramento,2015,2267
SanDiego,2015,3290
SanFrancisco,2015,4658
Seattle,2015,3729
SouthCarolina,2015,4892
SouthCentral,2015,15029
Southeast,2015,23432
Spokane,2015,546
StLouis,2015,2807
Syracuse,2015,660
Tampa,2015,2974
TotalUS,2015,321040
West,2015,17181
WestTexNewMexico,2015,1049
Albany,2016,152
Atlanta,2016,5796
BaltimoreWashington,2016,2801
Boise,2016,691
Boston,2016,4806
BuffaloRochester,2016,1135
California,2016,23640
Charlotte,2016,2476
Chicago,2016,9546
CincinnatiDayton,2016,2166
Columbus,2016,2047
DallasFtWorth,2016,7253
Denver,2016,2852
Detroit,2016,4306
GrandRapids,2016,1049
GreatLakes,2016,21120
HarrisburgScranton,2016,568
HartfordSpringfield,2016,1210
Houston,2016,6798
Indianapolis,2016,2006
Jacksonville,2016,1477
LasVegas,2016,2157
LosAngeles,2016,13328
Louisville,2016,1285
MiamiFtLauderdale,2016,6107
Midsouth,2016,11330
Nashville,2016,1869
NewOrleansMobile,2016,1271
NewYork,2016,20275
Northeast,2016,51980
NorthernNewEngland,2016,14758
Orlando,2016,2453
Philadelphia,2016,6077
PhoenixTucson,2016,4649
Pittsburgh,2016,2342
Plains,2016,2807
Portland,2016,2423
RaleighGreensboro,2016,1305
RichmondNorfolk,2016,1282
Roanoke,2016,313
Sacramento,2016,2295
SanDiego,2016,3317
SanFrancisco,2016,4699
Seattle,2016,3803
SouthCarolina,2016,4960
SouthCentral,2016,15323
Southeast,2016,23829
Spokane,2016,555
StLouis,2016,2807
Syracuse,2016,657
Tampa,2016,3037
TotalUS,2016,323406
West,2016,17493
WestTexNewMexico,2016,1055
Albany,2017,151
Atlanta,2017,5885
BaltimoreWashington,2017,2808
Boise,2017,710
Boston,2017,4837
BuffaloRochester,2017,1137
California,2017,23744
Charlotte,2017,2525
Chicago,2017,9533
CincinnatiDayton,2017,2179
Columbus,2017,2079
DallasFtWorth,2017,7400
Denver,2017,2888
Detroit,2017,4313
GrandRapids,2017,1059
GreatLakes,2017,21192
HarrisburgScranton,2017,572
HartfordSpringfield,2017,1210
Houston,2017,6892
Indianapolis,2017,2029
Jacksonville,2017,1505
LasVegas,2017,2204
LosAngeles,2017,13354
Louisville,2017,1294
MiamiFtLauderdale,2017,6159
Midsouth,2017,11474
Nashville,2017,1903
NewOrleansMobile,2017,1276
NewYork,2017,20321
Northeast,2017,52122
NorthernNewEngland,2017,14810
Orlando,2017,2510
Philadelphia,2017,6096
PhoenixTucson,2017,4737
Pittsburgh,2017,2333
Plains,2017,2807
Portland,2017,2453
RaleighGreensboro,2017,1335
RichmondNorfolk,2017,1294
Roanoke,2017,314
Sacramento,2017,2325
SanDiego,2017,3338
SanFrancisco,2017,4727
Seattle,2017,3867
SouthCarolina,2017,5024
SouthCentral,2017,15568
Southeast,2017,24174
Spokane,2017,564
StLouis,2017,2807
Syracuse,2017,655
Tampa,2017,3091
TotalUS,2017,325719
West,2017,17774
WestTexNewMexico,2017,1060
Albany,2018,153
Atlanta,2018,5928
BaltimoreWashington,2018,2829
Boise,2018,715
Boston,2018,4872
BuffaloRochester,2018,1145
California,2018,23917
Charlotte,2018,2544
Chicago,2018,9603
CincinnatiDayton,2018,2195
Columbus,2018,2094
DallasFtWorth,2018,7454
Denver,2018,2909
Detroit,2018,4344
GrandRapids,2018,1067
GreatLakes,2018,21346
HarrisburgScranton,2018,576
HartfordSpringfield,2018,1219
Houston,2018,6943
Indianapolis,2018,2043
Jacksonville,2018,1516
LasVegas,2018,2220
LosAngeles,2018,13451
Louisville,2018,1303
MiamiFtLauderdale,2018,6204
Midsouth,2018,11558
Nashville,2018,1917
NewOrleansMobile,2018,1285
NewYork,2018,20469
Northeast,2018,52503
NorthernNewEngland,2018,14918
Orlando,2018,2528
Philadelphia,2018,6141
PhoenixTucson,2018,4772
Pittsburgh,2018,2350
Plains,2018,2828
Portland,2018,2471
RaleighGreensboro,2018,1345
RichmondNorfolk,2018,1304
Roanoke,2018,316
Sacramento,2018,2342
SanDiego,2018,3362
SanFrancisco,2018,4762
Seattle,2018,3895
SouthCarolina,2018,5061
SouthCentral,2018,15682
Southeast,2018,24351
Spokane,2018,568
StLouis,2018,2828
Syracuse,2018,660
Tampa,2018,3114
TotalUS,2018,327999
West,2018,17899
WestTexNewMexico,2018,1068
