region,2015_Sales,2016_Sales,2017_Sales,2018_Sales,2015_Pop,2016_Pop,2017_Pop,2018_Pop,Sales_Per_Capita_2015,Sales_Per_Capita_2016,Sales_Per_Capita_2017,Sales_Per_Capita_2018
Albany,4764439.519999998,7009139.260000002,7947639.97,2045255.45,153.69,152.44,151.43,152.54,31.00032220704013,45.97965927578065,52.483919764907874,13.407994296577947
Atlanta,24515388.06000001,27033872.4,33904314.84999999,8339566.82,5702.33,5795.72,5884.74,5927.69,4.299187886355228,4.6644545285141445,5.761395550185732,1.4068830893653346
BaltimoreWashington,47590163.75000001,54670104.57999998,61984457.49999995,15663458.819999995,2795.04,2801.03,2808.18,2828.67,17.026648545280214,19.51785756668082,22.072822076932372,5.537393481742301
Boise,4009145.300000001,4041306.46,5857468.389999998,1438531.2100000004,674.31,690.81,709.85,715.03,5.945552194094706,5.850098377267266,8.251698795520177,2.0118473490622777
Boston,31354498.149999995,37853037.65000001,45803202.78000002,11531916.64,4775.76,4805.94,4836.53,4871.84,6.565342092148683,7.876302585966536,9.470261278230472,2.3670556996945713
BuffaloRochester,8272299.93,9401584.570000002,11237343.959999997,2633606.36,1136.66,1134.91,1136.86,1145.16,7.277725907483328,8.283991303275151,9.88454511549355,2.2997715253763666
California,309082265.3299996,335212589.17000014,386774708.2100002,90344234.22,23498.75,23639.77,23743.83,23917.16,13.153136457471126,14.180027520149313,16.289482708139346,3.7773813538062213
Charlotte,11047735.93,13208222.219999995,17033685.300000004,4453139.95,2424.12,2475.52,2525.31,2543.74,4.557421220896655,5.335534441248705,6.745185858369865,1.750627009835911
Chicago,48402585.70999999,50928623.24,63687298.22000003,16091777.56,9557.5,9546.33,9533.04,9602.63,5.064356339000784,5.334890291871327,6.680691387007715,1.6757677386299379
CincinnatiDayton,11809888.369999995,13469746.010000005,16185254.330000006,3523132.41,2155.67,2166.03,2179.08,2194.99,5.478523322215365,6.218633172209067,7.42756315968207,1.6050790254169724
Columbus,7990190.660000001,9388617.21,11424584.279999996,2759188.3100000005,2023.2,2046.98,2078.73,2093.9,3.949283639778569,4.586570073962618,5.495944292909611,1.317726878074407
DallasFtWorth,47335144.33000001,52135352.70999999,61485335.29000002,14653286.5,7101.03,7253.42,7399.66,7453.68,6.665954703754246,7.187692524354028,8.309210867796631,1.9659130120960384
Denver,41201639.46999999,41821590.97000001,50565471.82000002,12393937.54,2807.21,2851.85,2888.23,2909.31,14.6770777640433,14.664723239300809,17.507425592837144,4.260095190955931
Detroit,18878834.24999999,20173402.02999999,23910266.94999999,6160080.1499999985,4302.28,4305.87,4313.0,4344.49,4.3880998563552325,4.6850931472617585,5.54376697194528,1.4179063940761742
GrandRapids,10370769.609999998,11237479.06,12908357.54,3334367.24,1039.06,1048.83,1059.11,1066.84,9.98091506746482,10.714299800730338,12.187929053639376,3.1254614000224965
GreatLakes,184212076.46,200657638.16,243435444.9199999,60331116.86,21064.59,21119.64,21191.58,21346.27,8.745106192904776,9.500997088965532,11.487366440822246,2.8263072124544477
HarrisburgScranton,13411799.359999998,16147090.329999994,18655995.00999999,4739581.8900000015,565.3,568.01,571.9,576.08,23.72510058376083,28.42747544937588,32.62107887742611,8.227298100958203
HartfordSpringfield,18835164.230000008,21783414.27999999,24317818.55,6249754.669999997,1213.04,1210.08,1210.26,1219.09,15.527240841192382,18.001631528493977,20.093053186918514,5.12657364919735
Houston,43948551.94000002,48215107.04000002,59200191.62999999,14207306.930000005,6664.19,6798.01,6892.43,6942.74,6.594732734210762,7.092532526430532,8.589161098480504,2.046354455157475
Indianapolis,9034023.22,10122315.500000004,11994316.189999998,2870884.39,1986.87,2005.61,2028.61,2043.42,4.546861757437578,5.047000912440606,5.912578657307219,1.4049409274647406
Jacksonville,7920173.870000001,9905918.96,12459821.630000005,3197780.5900000012,1445.99,1476.5,1504.98,1515.97,5.477336544512757,6.709054493735185,8.27906126991721,2.109395693846185
LasVegas,15212541.93,16277971.010000005,18550255.51,4768068.009999999,2110.3,2156.72,2204.08,2220.17,7.208710576695257,7.547558797618609,8.416325863852492,2.147613925960624
LosAngeles,133164480.61,141898719.69,170429154.5,38735042.62000001,13283.82,13328.26,13353.91,13451.39,10.024562257693946,10.646454952859562,12.762490873459534,2.879631221754779
Louisville,4471641.500000001,5262099.08,6217844.020000001,1543749.2000000004,1277.99,1284.85,1293.95,1303.4,3.498964389392719,4.095496812857532,4.805320159202443,1.18440171858217
MiamiFtLauderdale,27909706.07,35218259.22000001,43666041.82,11787265.44,6026.04,6107.43,6158.82,6203.78,4.631516895008994,5.766461379008849,7.090001302197499,1.9000134498644374
Midsouth,158569392.76000008,181712665.14000016,219317852.12000003,56123584.37999999,11182.84,11330.45,11473.89,11557.65,14.179706832969092,16.03755059507788,19.11451583726182,4.855968503977884
Nashville,8866925.809999999,10228152.04000001,13259894.450000005,3371464.4199999985,1829.51,1868.86,1903.05,1916.94,4.846612377084574,5.47293646394059,6.967706812747959,1.7587740983025022
