region,2015_Volume,2016_Volume,2017_Volume,2018_Volume,2015_Pop,2016_Pop,2017_Pop,2018_Pop,Vol_Per_Capita_2015,Vol_Per_Capita_2016,Vol_Per_Capita_2017,Vol_Per_Capita_2018
Albany,4029848,5264285,5231535,1541973,153.69,152.44,151.43,152.54,26.220625935324353,34.533488585673055,34.54754672125735,10.108646912285302
Atlanta,23231644,28326827,28815067,8231412,5702.33,5795.72,5884.74,5927.69,4.074061655498717,4.8875423588441125,4.896574360124662,1.3886373950054742
BaltimoreWashington,40645529,40893749,41015580,12158891,2795.04,2801.03,2808.18,2828.67,14.542020507756597,14.599539812140534,14.605751768049057,4.298448033881647
Boise,3784304,4653458,4760517,1214749,674.31,690.81,709.85,715.03,5.612113123044297,6.736234275705331,6.706370359935198,1.698878368739773
Boston,27454938,30571266,30610624,8636994,4775.76,4805.94,4836.53,4871.84,5.748810241720689,6.361141836976741,6.329046651214817,1.7728402410588198
BuffaloRochester,5893181,7205064,7740250,2123804,1136.66,1134.91,1136.86,1145.16,5.184647124030053,6.348577420235966,6.808446070756293,1.8545914981312654
California,301407383,326188331,317644481,83741295,23498.75,23639.77,23743.83,23917.16,12.826528347252513,13.798286996870106,13.377979921520664,3.501305966092964
Charlotte,9487294,10586670,11895543,3585876,2424.12,2475.52,2525.31,2543.74,3.913706417174067,4.276543918045501,4.710527816386899,1.40968652456619
Chicago,41494670,39612585,40980677,11614221,9557.5,9546.33,9533.04,9602.63,4.341582003662046,4.149509287862456,4.298804683500751,1.209483339460127
CincinnatiDayton,11756125,14020814,15145907,3598275,2155.67,2166.03,2179.08,2194.99,5.453582876785408,6.473047003042432,6.950597040953062,1.6393127075749776
Columbus,7849726,9059419,10240068,2843890,2023.2,2046.98,2078.73,2093.9,3.879856662712535,4.425748663885334,4.926117388982696,1.3581785185538946
DallasFtWorth,60311254,63695203,66240932,18171735,7101.03,7253.42,7399.66,7453.68,8.493310688731071,8.781402841693987,8.95188860028704,2.437954808899765
Denver,39190288,45307713,42559027,11845342,2807.21,2851.85,2888.23,2909.31,13.96058292753303,15.887130459175623,14.735331673724046,4.07152967542132
Detroit,17979526,18907408,20510710,6022388,4302.28,4305.87,4313.0,4344.49,4.179069237706519,4.391077296806452,4.755555297936471,1.3862128811437016
GrandRapids,9740892,9146818,8754396,2569452,1039.06,1048.83,1059.11,1066.84,9.374715608338306,8.720972893605255,8.265804307390168,2.4084698736455326
GreatLakes,169387925,177739980,189342682,53155604,21064.59,21119.64,21191.58,21346.27,8.041358744699043,8.415862202196628,8.934807220603656,2.490158889585862
HarrisburgScranton,11637852,13124772,13144269,3901800,565.3,568.01,571.9,576.08,20.58703697151955,23.10658615165226,22.983509354782303,6.773017636439383
HartfordSpringfield,15162199,15697899,15322552,4487727,1213.04,1210.08,1210.26,1219.09,12.49933967552595,12.972612554541849,12.660545667873018,3.6812105751011
Houston,55387416,58704732,69093041,19982505,6664.19,6798.01,6892.43,6942.74,8.311200010804013,8.635575999446896,10.024482076713147,2.8781871422521945
Indianapolis,8189014,9164402,9999759,2907984,1986.87,2005.61,2028.61,2043.42,4.121565074715507,4.569383878221588,4.9293649346103985,1.423096573391667
