year,region,TotalVolume,AveragePrice
2015,Albany,4029848,1.5387500000000005
2015,Atlanta,23231644,1.3805769230769231
2015,BaltimoreWashington,40645529,1.3688461538461534
2015,Boise,3784304,1.3737499999999998
2015,Boston,27454938,1.473557692307692
2015,BuffaloRochester,5893181,1.5446153846153845
2015,Charlotte,9487294,1.575769230769231
2015,Chicago,41494670,1.404038461538462
2015,CincinnatiDayton,11756125,1.2023076923076923
2015,Columbus,7849726,1.2738461538461539
2015,DallasFtWorth,60311254,1.0778846153846149
2015,Denver,39190288,1.187788461538462
2015,Detroit,17979526,1.3382692307692308
2015,GrandRapids,9740892,1.4163461538461537
2015,HarrisburgScranton,11637852,1.4716346153846158
2015,HartfordSpringfield,15162199,1.7477884615384622
2015,Houston,55387416,1.0480769230769231
2015,Indianapolis,8189014,1.3429807692307696
2015,Jacksonville,7176424,1.503076923076923
2015,LasVegas,15542381,1.3688461538461534
2015,LosAngeles,148220640,1.1525
2015,Louisville,4288952,1.294423076923077
2015,MiamiFtLauderdale,25166461,1.3835576923076922
2015,Nashville,8661866,1.2772115384615383
2015,NewOrleansMobile,12664260,1.2676923076923077
2015,NewYork,70607586,1.6445192307692316
2015,NorthernNewEngland,20094568,1.4733653846153845
2015,Orlando,14719523,1.4993269230769217
2015,Philadelphia,20892168,1.5551923076923078
2015,PhoenixTucson,57176231,1.157115384615385
2015,Pittsburgh,4539947,1.4072115384615382
2015,Portland,27943403,1.3068269230769227
2015,RaleighGreensboro,12817280,1.4494230769230765
2015,RichmondNorfolk,11651028,1.2745192307692306
2015,Roanoke,6778758,1.2271153846153846
2015,Sacramento,21980484,1.4540384615384618
2015,SanDiego,26585679,1.2742307692307686
2015,SanFrancisco,39445748,1.621057692307693
2015,Seattle,29057048,1.4222115384615388
2015,SouthCarolina,16245813,1.454711538461539
2015,Southeast,160095157,1.414711538461538
2015,Spokane,4181640,1.400384615384615
2015,StLouis,9902524,1.503365384615385
2015,Syracuse,2734280,1.5290384615384616
2015,Tampa,17131542,1.3566346153846154
2015,WestTexNewMexico,41523946,1.259320388349514
2016,Albany,5264285,1.533942307692308
2016,Atlanta,28326827,1.2141346153846153
2016,BaltimoreWashington,40893749,1.5875961538461543
2016,Boise,4653458,1.1419230769230775
2016,Boston,30571266,1.426153846153846
2016,BuffaloRochester,7205064,1.4838461538461531
2016,Charlotte,10586670,1.497884615384615
2016,Chicago,39612585,1.5473076923076934
2016,CincinnatiDayton,14020814,1.088365384615385
2016,Columbus,9059419,1.1863461538461542
2016,DallasFtWorth,63695203,0.9961538461538464
2016,Denver,45307713,1.0931730769230765
2016,Detroit,18907408,1.1724038461538464
2016,GrandRapids,9146818,1.5093269230769235
2016,HarrisburgScranton,13124772,1.511634615384616
2016,HartfordSpringfield,15697899,1.8510576923076936
2016,Houston,58704732,0.9919230769230768
2016,Indianapolis,9164402,1.3015384615384613
2016,Jacksonville,9711784,1.367692307692308
2016,LasVegas,16906963,1.352403846153846
2016,LosAngeles,163142250,1.08375
2016,Louisville,5076273,1.2115384615384612
2016,MiamiFtLauderdale,31885010,1.2798076923076924
2016,Nashville,10499124,1.1161538461538463
2016,NewOrleansMobile,14640315,1.2486538461538463
2016,NewYork,71546507,1.7620192307692313
2016,NorthernNewEngland,22141758,1.3926923076923075
2016,Orlando,19214729,1.3707692307692305
2016,Philadelphia,22108044,1.6748076923076929
2016,PhoenixTucson,59283639,1.2587499999999996
2016,Pittsburgh,5516140,1.343365384615385
2016,Portland,37311463,1.1916346153846151
2016,RaleighGreensboro,14567803,1.4477884615384615
2016,RichmondNorfolk,12937976,1.2111538461538462
2016,Roanoke,7686765,1.1474999999999995
2016,Sacramento,23122978,1.6681730769230767
2016,SanDiego,29337995,1.31375
2016,SanFrancisco,41529580,1.881250000000001
2016,Seattle,37188364,1.300288461538462
2016,SouthCarolina,18702807,1.3049999999999997
2016,Southeast,198121427,1.2869230769230764
2016,Spokane,5006114,1.3335576923076924
2016,StLouis,10644427,1.1854807692307685
2016,Syracuse,3429317,1.5034615384615388
2016,Tampa,21680700,1.2645192307692301
2016,WestTexNewMexico,43807375,1.2466346153846157
2017,Albany,5231535,1.6378301886792455
2017,Atlanta,28815067,1.4287735849056606
2017,BaltimoreWashington,41015580,1.6794339622641505
2017,Boise,4760517,1.4926415094339625
2017,Boston,30610624,1.679528301886792
2017,BuffaloRochester,7740250,1.5877358490566038
2017,Charlotte,11895543,1.769811320754717
2017,Chicago,40980677,1.7148113207547169
2017,CincinnatiDayton,15145907,1.3194339622641504
2017,Columbus,10240068,1.315660377358491
2017,DallasFtWorth,66240932,1.1769811320754713
2017,Denver,42559027,1.3577358490566032
2017,Detroit,20510710,1.339056603773585
2017,GrandRapids,8754396,1.6277358490566043
2017,HarrisburgScranton,13144269,1.5957547169811324
2017,HartfordSpringfield,15322552,1.8883018867924524
2017,Houston,69093041,1.1040566037735848
2017,Indianapolis,9999759,1.330754716981132
2017,Jacksonville,9193233,1.6715094339622634
2017,LasVegas,17433784,1.4178301886792455
2017,LosAngeles,158481118,1.3773584905660377
2017,Louisville,5260064,1.357075471698114
2017,MiamiFtLauderdale,30880179,1.6375471698113209
2017,Nashville,12938592,1.2400000000000004
2017,NewOrleansMobile,14326454,1.419056603773585
2017,NewYork,74850626,1.8099056603773584
2017,NorthernNewEngland,22660244,1.5771698113207546
2017,Orlando,18811346,1.6801886792452831
2017,Philadelphia,22271193,1.7072641509433957
2017,PhoenixTucson,61170485,1.2725471698113209
2017,Pittsburgh,6848579,1.3629245283018874
2017,Portland,36899402,1.4343396226415097
2017,RaleighGreensboro,16028592,1.7686792452830196
2017,RichmondNorfolk,13646872,1.3992452830188684
2017,Roanoke,8085554,1.3583018867924526
2017,Sacramento,23192386,1.774056603773585
2017,SanDiego,27194239,1.5845283018867926
2017,SanFrancisco,41871455,1.9659433962264152
2017,Seattle,35027515,1.5993396226415086
2017,SouthCarolina,19968917,1.4798113207547168
2017,Southeast,196737199,1.5121698113207551
2017,Spokane,5151477,1.6045283018867924
2017,StLouis,8988067,1.591792452830188
2017,Syracuse,3731928,1.5894339622641511
2017,Tampa,20550083,1.6193396226415095
2017,WestTexNewMexico,47389539,1.2815384615384622
2018,Albany,1541973,1.435833333333333
2018,Atlanta,8231412,1.28875
2018,BaltimoreWashington,12158891,1.3783333333333336
2018,Boise,1214749,1.4925000000000006
2018,Boston,8636994,1.5766666666666662
2018,BuffaloRochester,2123804,1.22625
2018,Charlotte,3585876,1.4825000000000002
2018,Chicago,11614221,1.5616666666666668
2018,CincinnatiDayton,3598275,1.2758333333333336
2018,Columbus,2843890,1.1716666666666666
2018,DallasFtWorth,18171735,1.1029166666666665
2018,Denver,11845342,1.2808333333333337
2018,Detroit,6022388,1.1779166666666665
2018,GrandRapids,2569452,1.3283333333333334
2018,HarrisburgScranton,3901800,1.3366666666666667
2018,HartfordSpringfield,4487727,1.6775
2018,Houston,19982505,1.0420833333333333
2018,Indianapolis,2907984,1.1683333333333332
2018,Jacksonville,2708393,1.456666666666667
2018,LasVegas,4493621,1.39375
2018,LosAngeles,38052366,1.3516666666666666
2018,Louisville,1471548,1.2679166666666666
2018,MiamiFtLauderdale,9741410,1.344166666666667
2018,Nashville,3512341,1.2225
2018,NewOrleansMobile,4063951,1.2041666666666668
2018,NewYork,23729243,1.5745833333333328
2018,NorthernNewEngland,6636158,1.42125
2018,Orlando,5914925,1.3545833333333333
2018,Philadelphia,6567225,1.4487499999999998
2018,PhoenixTucson,18012793,1.1550000000000002
2018,Pittsburgh,1901507,1.2754166666666664
2018,Portland,8397777,1.3962500000000002
2018,RaleighGreensboro,4788883,1.5350000000000001
2018,RichmondNorfolk,3994813,1.235
2018,Roanoke,2490758,1.2858333333333334
2018,Sacramento,6867737,1.4720833333333332
2018,SanDiego,6673837,1.4779166666666665
2018,SanFrancisco,12983246,1.5495833333333333
2018,Seattle,7941084,1.4549999999999994
2018,SouthCarolina,5836071,1.2683333333333333
2018,Southeast,60284458,1.3029166666666667
2018,Spokane,1225880,1.425
2018,StLouis,2537648,1.465833333333334
2018,Syracuse,1046977,1.2504166666666667
2018,Tampa,6642044,1.3308333333333335
2018,WestTexNewMexico,11800812,1.25125
