,TotalSales,TotalSales,TotalSales,TotalSales
year,2015,2016,2017,2018
region,,,,
Albany,4764439.519999998,7009139.260000001,7947639.97,2045255.4500000002
Atlanta,24515388.060000006,27033872.4,33904314.84999999,8339566.82
BaltimoreWashington,47590163.75000001,54670104.579999976,61984457.49999995,15663458.819999997
Boise,4009145.300000001,4041306.4599999995,5857468.389999998,1438531.2100000002
Boston,31354498.149999995,37853037.65000001,45803202.780000016,11531916.64
BuffaloRochester,8272299.93,9401584.570000002,11237343.959999997,2633606.36
California,309082265.3299996,335212589.17000014,386774708.2100002,90344234.22
Charlotte,11047735.93,13208222.219999995,17033685.300000004,4453139.95
Chicago,48402585.709999986,50928623.24,63687298.22000003,16091777.56
CincinnatiDayton,11809888.369999997,13469746.010000004,16185254.330000006,3523132.41
Columbus,7990190.660000001,9388617.209999999,11424584.279999997,2759188.3100000005
DallasFtWorth,47335144.33000001,52135352.70999999,61485335.290000014,14653286.5
Denver,41201639.46999999,41821590.970000006,50565471.820000015,12393937.540000001
Detroit,18878834.24999999,20173402.02999999,23910266.949999988,6160080.149999999
GrandRapids,10370769.609999998,11237479.059999999,12908357.54,3334367.2399999998
GreatLakes,184212076.45999998,200657638.15999997,243435444.9199999,60331116.86
HarrisburgScranton,13411799.359999998,16147090.329999996,18655995.00999999,4739581.890000001
HartfordSpringfield,18835164.230000008,21783414.27999999,24317818.55,6249754.669999998
Houston,43948551.94000002,48215107.04000002,59200191.62999999,14207306.930000003
Indianapolis,9034023.22,10122315.500000004,11994316.189999998,2870884.39
Jacksonville,7920173.870000001,9905918.959999999,12459821.630000005,3197780.590000001
LasVegas,15212541.93,16277971.010000005,18550255.509999998,4768068.009999999
LosAngeles,133164480.61,141898719.69,170429154.5,38735042.620000005
Louisville,4471641.500000001,5262099.08,6217844.020000001,1543749.2000000002
MiamiFtLauderdale,27909706.069999997,35218259.220000006,43666041.82,11787265.440000001
Midsouth,158569392.76000008,181712665.14000016,219317852.12000003,56123584.37999999
Nashville,8866925.809999999,10228152.04000001,13259894.450000003,3371464.419999999
NewOrleansMobile,12524169.020000001,14396099.599999996,17622451.279999994,4133341.93
NewYork,88669012.60000001,96086557.38999997,118274567.82999995,32165118.510000005
Northeast,248176557.25999993,284714498.53000003,340067288.7200002,87049260.61
NorthernNewEngland,22518384.94,26722006.17000001,31920744.979999997,8463871.08
Orlando,16346075.669999992,20466262.9,25797136.47000001,7001466.8
Philadelphia,26813089.570000004,29926850.110000007,34576925.02000001,8498686.12
PhoenixTucson,37331142.21000001,41701210.57000003,47189665.06,12229242.61
Pittsburgh,5597285.619999998,6807405.890000006,8593924.299999999,2195956.7099999995
Plains,95127773.63999999,105191732.01000004,128523375.43999995,31193253.319999997
Portland,29826515.040000007,33883403.86999998,39812118.94000002,9342314.170000004
RaleighGreensboro,14774085.789999995,17483100.990000017,21863509.98999999,5716827.359999999
RichmondNorfolk,12294393.319999998,13781570.03000001,16954224.889999997,4314418.15
Roanoke,7284453.540000002,7953893.5,9652986.05,2517732.170000001
Sacramento,25849318.49,28358856.46000001,32733370.34,7866893.860000001
SanDiego,26199398.150000017,27847305.670000017,32011037.63,7469121.12
SanFrancisco,50598290.03999999,57674639.400000006,62400607.83999999,15160251.27
Seattle,33574622.22,37881811.01000003,43265296.339999996,10457153.629999997
SouthCarolina,17427295.12000001,19919043.16,25512761.12999999,6668750.289999999
SouthCentral,237124107.61000004,258417878.44999996,304999759.1300001,73517353.72
Southeast,172291427.62000003,205740416.36,257020841.90000004,68577661.35
Spokane,4641505.58,5065742.159999995,6002811.909999998,1446186.8700000006
StLouis,11952648.970000003,10308104.729999995,12188495.040000001,2989978.6
Syracuse,3669851.670000002,4672967.749999997,5552309.28,1309810.52
Tampa,18211308.21000001,22782668.309999995,28052778.149999995,7912069.550000002
TotalUS,1693556932.7599998,1884641412.5199997,2250683664.51,558682720.8900001
West,291641038.32000005,313204839.3999999,370051778.7400001,91935796.36000001
WestTexNewMexico,32242410.440000016,36941919.309999995,42162191.790000014,10218687.899999999
