,TotalVolume,TotalVolume,TotalVolume,TotalVolume
year,2015,2016,2017,2018
region,,,,
Albany,4029848,5264285,5231535,1541973
Atlanta,23231644,28326827,28815067,8231412
BaltimoreWashington,40645529,40893749,41015580,12158891
Boise,3784304,4653458,4760517,1214749
Boston,27454938,30571266,30610624,8636994
BuffaloRochester,5893181,7205064,7740250,2123804
California,301407383,326188331,317644481,83741295
Charlotte,9487294,10586670,11895543,3585876
Chicago,41494670,39612585,40980677,11614221
CincinnatiDayton,11756125,14020814,15145907,3598275
Columbus,7849726,9059419,10240068,2843890
DallasFtWorth,60311254,63695203,66240932,18171735
Denver,39190288,45307713,42559027,11845342
Detroit,17979526,18907408,20510710,6022388
GrandRapids,9740892,9146818,8754396,2569452
GreatLakes,169387925,177739980,189342682,53155604
HarrisburgScranton,11637852,13124772,13144269,3901800
HartfordSpringfield,15162199,15697899,15322552,4487727
Houston,55387416,58704732,69093041,19982505
Indianapolis,8189014,9164402,9999759,2907984
Jacksonville,7176424,9711784,9193233,2708393
LasVegas,15542381,16906963,17433784,4493621
LosAngeles,148220640,163142250,158481118,38052366
Louisville,4288952,5076273,5260064,1471548
MiamiFtLauderdale,25166461,31885010,30880179,9741410
Midsouth,140221868,154260447,165553441,48313370
Nashville,8661866,10499124,12938592,3512341
NewOrleansMobile,12664260,14640315,14326454,4063951
NewYork,70607586,71546507,74850626,23729243
Northeast,203378936,218931032,224647251,66323524
NorthernNewEngland,20094568,22141758,22660244,6636158
Orlando,14719523,19214729,18811346,5914925
Philadelphia,20892168,22108044,22271193,6567225
PhoenixTucson,57176231,59283639,61170485,18012793
Pittsburgh,4539947,5516140,6848579,1901507
Plains,87638741,95241584,100279833,28028060
Portland,27943403,37311463,36899402,8397777
RaleighGreensboro,12817280,14567803,16028592,4788883
RichmondNorfolk,11651028,12937976,13646872,3994813
Roanoke,6778758,7686765,8085554,2490758
Sacramento,21980484,23122978,23192386,6867737
SanDiego,26585679,29337995,27194239,6673837
SanFrancisco,39445748,41529580,41871455,12983246
Seattle,29057048,37188364,35027515,7941084
SouthCarolina,16245813,18702807,19968917,5836071
SouthCentral,290454538,304098646,325422568,91303697
Southeast,160095157,198121427,196737199,60284458
Spokane,4181640,5006114,5151477,1225880
StLouis,9902524,10644427,8988067,2537648
Syracuse,2734280,3429317,3731928,1046977
Tampa,17131542,21680700,20550083,6642044
TotalUS,1657255160,1819159089,1864682176,523627169
West,304670268,344577282,345054372,92477073
WestTexNewMexico,41523946,43807375,47389539,11800812
