group,sid
1a,10
1a,64
1a,60
1a,58
1a,55
1a,46
1a,49
1a,28
1a,66
1a,41
1a,69
1a,21
1a,50
1a,47
1a,38
1a,31
1a,22
1a,43
1a,71
1b,16
1b,2
1b,5
1b,27
1b,23
1b,48
1b,61
1b,42
1b,57
1b,4
1b,1
1b,11
1b,15
1b,40
1b,39
1b,12
1b,72
1b,17
2a,25
2a,30
2a,24
2a,44
2a,32
2a,53
2a,59
2a,13
2a,9
2a,56
2a,19
2a,37
2a,62
2a,35
2a,7
2a,51
2a,6
2a,52
2b,45
2b,63
2b,36
2b,65
2b,70
2b,18
2b,67
2b,26
2b,34
2b,8
2b,20
2b,29
2b,73
2b,33
2b,68
2b,3
2b,54
2b,14
