Name,YearFrom,YearTo,CEOAtAge,CompanyTenure,CEOTenure,HighestEdLevel,NumDegrees,Degree1,Major1,CollegeUniversity 1,Degree2,Major2,CollegeUniversity 2,Ethnicity,Company,Industry_Sector,CompanyType,Headquarters,RevenueMillions,MarketValueMillions,TotalEmployees,PercentFemaleLeaders
Mary T. Barra,2014,present,53,11,7,Masters,2,Bachelors,Engineering,Kettering University,Masters,Business Administration,Stanford University,,General Motors Company,Automotive,public,Michigan,137237,29695,164000,21.05
Corie Barry,2019,present,53,21,1,Bachelors,1,Bachelors,Accounting & Business,College of St. Benedict,,,,,Best Buy,Retail,public,Minnesota,43638,14647,125000,21.05
Gail Boudreaux,2017,present,57,3,3,Masters,2,Bachelors,Psychology,Dartmouth College,Masters,Business Administration,Columbia University,,"Anthem, Inc.",Managed Healthcare,public,Indiana,104213,57245,70600,44.44
Heather Bresch,2012,present,43,29,8,Bachelors,1,Bachelors,Political Science & International Relations,West Virginia University,,,,,Mylan N. V.,Pharmaceuticals,public,Pennsylvania,11500,203000,35000,30.77
Michele Buck,2016,present,55,16,4,Masters,2,Bachelors,Business,Shippensburg University of Pennsylvania,Masters,Business Administration,"University of North Carolina, Chapel Hill  ",,Hershey Company,Food Processing,public,Pennsylvania,7986,27791,15330,22.22
Debra A. Cafaro,1999,present,42,21,21,Doctorate,2,Bachelors,Government & Economics,University of Notre Dame,Doctorate,Law,University of Chicago,,"Ventas, Inc.","REIT, Healthcare",public,Illinois,3872,9992,516,25
Safra A. Catz,1999,present,38,21,21,Doctorate,2,Bachelors,Business,University of Pennsylvania,Doctorate,Law,,,Oracle Corporation,"Enterprise Software, Cloud Computing, Computer Hardware",public,California,39506,152412,136000,21.43
Joanne Crevoiserat,2020,present,56,1,0,Bachelors,1,Bachelors,Business,University of Connecticut,,,,,"Tapestry, Inc.",Fashion,public,New York,60271,3575,17400,36.36
Mary Dillon,2013,present,48,7,7,Bachelors,1,Bachelors,Marketing,"University of Illinois, Chicago",,,,,"Ulta Beauty, Inc.",Retail,public,Illinois,7398,9894,31000,50
Adena Friedman,2017,present,48,17,4,Masters,2,Bachelors,Political Science & Government,Williams College,Masters,Business Administration,Vanderbilt University,,"Nasdaq, Inc.",Financial Services,public,New York,4262,15605,4361,20
Michelle Gass,2018,present,50,7,3,Masters,2,Bachelors,Engineering,Worcester Polytechnic Institute,Masters,Business Administration,University of Washington,,Kohl's Corporation,Retail,public,Wisconsin,19974,2265,79500,37.5
Lynn J. Good,2013,present,53,18,7,Bachelors,1,Bachelors,Accounting & Systems Analysis,Miami University,,,,,Duke Energy Corporation,Energy,public,North Carolina,24658,59368,28793,23.81
Tricia Griffith,2014,present,50,30,6,Bachelors,1,Bachelors,Marketing,Illinois State University,,,,,The Progressive Corporation,Insurance,public,Ohio,39022,43218,41571,18.18
Vicki Hollub,2016,present,56,40,5,Bachelors,1,Bachelors,Engineering,University of Alabama,,,,,Occidental Petroleum Corporation,Energy,public,Texas,29971,10377,14400,21.43
Jennifer M. Johnson,2020,present,54,32,1,Bachelors,1,Bachelors,Economics,"University of California, Davis",,,,,"Franklin Resources, Inc.",Financial Services,public,California,5775,11470,49000,22.22
Margaret Keane,2011,present,52,10,10,Masters,2,Bachelors,Government & Politics,St. John's University,Masters,Business Administration,St. John's University,,Synchrony Financial,Financial Services,public,Connecticut,19461,9871,16500,33.33
Reshma Kewalramani,2020,present,47,4,1,Doctorate,2,Doctorate,Medicine,Boston University,Masters,Business Administration,Harvard University,,Vertex Pharmaceuticals,Pharmaceuticals,public,Massachusetts,4163,61693,3000,27.78
Christine A. Leahy,2019,present,55,18,2,Doctorate,2,Bachelors,unspecified,Brown University,Doctorate,Law,Boston College,,CDW Corporation,IT Products & Services,public,Illinois,18032,13316,9900,52.94
Sue Y. Nabi,2020,present,52,1,1,Masters,2,Bachelors,Agronomy & Engineering,"ENGEES, Strasbourg",Masters,Marketing Management,Paris Business School,,"Coty, Inc.",Beauty,public,New York,8649,3924,19000,50
Phebe N. Novakovic,2013,present,53,20,7,Masters,2,Bachelors,unspecified,Smith College,Masters,Business Administration,University of Pennsylvania,,General Dynamics Corporation,"Aerospace, Defense, Shipbuilding",public,Virginia,39350,38398,102900,12
Lisa Palmer,2020,present,52,24,1,Masters,2,Bachelors,Economics,University of Virginia,Masters,Business Administration,University of Pennsylvania,,Regency Centers Corporation,REIT,public,Florida,1090,6930,450,24.07
Kristin Peck,2020,present,48,8,1,Masters,2,Bachelors,unspecified,Georgetown University,Masters,Business Administration,Columbia University,,Zoetis,Pharmaceuticals,public,New Jersey,6260,55895,10600,50
Patricia K. Poppe,2016,present,47,10,4,Masters,2,Bachelors,Engineering,Purdue University,Masters,Business Administration,Stanford University,,CMS Energy Corporation,Energy,public,Michigan,6845,16697,8459,17.86
Linda Rendle,2020,present,42,18,0,Bachelors,1,Bachelors,Economics,Harvard University,,,,,The Clorox Company,"Consumer Household Goods, Healthcare, Food",public,California,6214,21674,8800,46.15
Barbara Rentler,2014,present,56,34,6,unspecified,0,Bachelors,unspecified,unspecified,,,,,"Ross Stores, Inc.",Retail,public,California,16039,30952,92500,36.36
Lori J. Ryerkerk,2019,present,56,2,2,Bachelors,1,Bachelors,Engineering,Iowa State University,,,,,Celanese Corporation,"Chemicals, Advanced Materials",public,Texas,6297,8775,7714,40
Lisa Su,2014,present,44,8,6,Doctorate,3,Masters,Engineering,MIT,Dcotorate,Engineering,MIT,,"Advanced Micro Devices, Inc.",Semiconductors,public,California,6731,53250,11400,17.65
Julie Sweet,2019,present,51,11,1,Doctorate,2,Bachelors,International Relations,Claremont McKenna College,Doctorate,Law,Columbia University,,Accenture,Professional Services,public,Illinois,44330,151780,506000,2.44
Sonia Syngal,2020,present,49,16,1,Masters,2,Bachelors,Engineering,Kettering College,Masters,Engineering,Stanford University,,"Gap, Inc.",Retail,public,California,16383,2614,129000,70
Carol Tome,2020,present,63,1,1,Masters,2,Bachelors,Communication,University of Wyoming,Masters,Finance,University of Denver,,United Parcel Service,Courier,public,Georgia,74094,80196,377640,36.36
Jayashree Ullal,2008,present,47,12,12,Masters,2,Bachelors,Engineering,San Francisco State University,Masters,Engineering Management,Santa Clara University,,"Arista Networks, Inc.",Networking Hardware,public,California,2411,15491,2300,28.57
Kathy Warden,2019,present,48,11,2,Masters,2,Bachelors,unspecified,James Madison University,Masters,Business Administration,George Washington University,,Northrop Grumman Corporation,Defense,public,Virginia,33841,50719,90000,58.33
